Görev,Atanan,Kategori,Aşama,Son Tarih,Durum,Notlar
GA4 + Meta Pixel kurulumu,Özden Çolak,Teknik — Altyapı,Aşama 1,20.08.2026,Tamamlandı,
Brevo e-posta hesabı teknik kurulumu,Özden Çolak,Teknik — Altyapı,Aşama 1,20.08.2026,Tamamlandı,
kolaykobi.com/araclar sayfası yayına,Özden Çolak,Teknik — Altyapı,Aşama 1,25.08.2026,Tamamlandı,
8 araç için QR kod üret,Özden Çolak,Teknik — Altyapı,Aşama 1,25.08.2026,Tamamlandı,
Brevo hoş geldin e-posta serisi (otomasyon kurulumu),Özden Çolak,Teknik — E-posta,Aşama 1,01.09.2026,Bekliyor,5 aşamalı damla serisi
Site e-posta form entegrasyonu ve testi,Özden Çolak,Teknik — Altyapı,Aşama 1,01.09.2026,Tamamlandı,Brevo formu + cift onay + captcha + PDF rehber; liste #7. Test edildi 31.08.
Zoom Starter hesabı aç ve yapılandır,Özden Çolak,Teknik — Workshop,Aşama 1,08.09.2026,Bekliyor,
8 Ekim workshop online kayıt formu (teknik kurulum),Özden Çolak,Teknik — Workshop,Aşama 1,08.09.2026,Bekliyor,
Zoom ses / ekran paylaşım testi,Özden Çolak,Teknik — Workshop,Aşama 1,22.09.2026,Bekliyor,
1. Workshop teknik rihearsal (Zoom bağlantı / ses / ekran),Özden Çolak,Teknik — Workshop,Aşama 2,06.10.2026,Bekliyor,
1. Workshop — katılımcı listesini e-posta sistemine aktar,Özden Çolak,Teknik — E-posta,Aşama 2,08.10.2026,Bekliyor,
2. Workshop — katılımcı listesini e-posta sistemine aktar,Özden Çolak,Teknik — E-posta,Aşama 3,05.11.2026,Bekliyor,
Kullanıcı arayüzü polish — admin & hesap sayfaları (spacing, font, layout),Özden Çolak,Teknik — UI,İP3,22.08.2026,Tamamlandı,
Analytics kurulumu (Posthog veya GA4 — ürün analitik),Özden Çolak,Teknik — Altyapı,İP3,22.08.2026,Tamamlandı,Posthog EU — session replay + KVKK uyumlu + production deploy
PayTR production modu aktif et — Starter & Pro plan ücretli satışını başlat,Özden Çolak,Teknik — Ödeme,Aşama 3,10.11.2026,Bekliyor,PayTR entegrasyonu zaten mevcut; test modu kaldırılacak
Sosyal medya bioleri ve kapak görselleri güncelle,Sezgin Çolak,Pazarlama — Sosyal Medya,Aşama 1,20.08.2026,Tamamlandı,
Bio linki güncelle,Sezgin Çolak,Pazarlama — Sosyal Medya,Aşama 1,25.08.2026,Tamamlandı,
LinkedIn carousel (7 slayt) — kitap duyurusu,Sezgin Çolak,Pazarlama — Sosyal Medya,Aşama 1,27.08.2026,Bekliyor,
Instagram hikaye + gönderisi — duyuru,Sezgin Çolak,Pazarlama — Sosyal Medya,Aşama 1,27.08.2026,Bekliyor,
WhatsApp yayın listesine duyuru gönder,Sezgin Çolak,Pazarlama — Sosyal Medya,Aşama 1,27.08.2026,Bekliyor,
Kitapyurdu linkini tüm kanallarda paylaş,Sezgin Çolak,Pazarlama — Sosyal Medya,Aşama 1,27.08.2026,Bekliyor,
Video 1 çek + düzenle + yayınla (İşletme Görünürlük Skoru),Sezgin Çolak,Pazarlama — Video,Aşama 1,27.08.2026,Bekliyor,TikTok → Reels → YouTube Shorts
Video 2 çek + düzenle + yayınla (Müşteri Persona),Sezgin Çolak,Pazarlama — Video,Aşama 1,01.09.2026,Bekliyor,
